region_id,commodity,soc_base,soc_regen,se_base,se_regen,d_soc,d_soc_pct,d_se_red,d_se_red_pct,win_win,soc_rank,se_rank,priority,region_name,country_name,biome,realm
34,Wheat,17.1455,34.3175,9.3588,2.1619,17.172,100.1548,7.1969,76.9,True,0.8685,0.3796,0.6241,Angolan mopane woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
35,Wheat,27.5683,31.8961,35.2506,8.1429,4.3278,15.6983,27.1077,76.9,True,0.2167,0.6444,0.4306,Angolan scarp savanna and woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
36,Wheat,17.7555,22.0115,13.6054,3.1428,4.256,23.97,10.4625,76.9,True,0.2074,0.4593,0.3333,Angolan wet miombo woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
38,Wheat,21.8494,32.9284,13.5296,3.1253,11.079,50.7064,10.4043,76.9,True,0.6407,0.4556,0.5481,Central bushveld,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
39,Wheat,27.8964,42.1948,19.2202,4.4399,14.2984,51.2555,14.7803,76.9,True,0.7889,0.5296,0.6593,Central Zambezian wet miombo woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
40,Wheat,31.8908,41.677,40.692,9.3999,9.7861,30.6863,31.2922,76.9,True,0.5759,0.6741,0.625,Drakensberg Escarpment savanna and thicket,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
41,Wheat,32.5219,44.3205,35.4776,8.1953,11.7986,36.2789,27.2823,76.9,True,0.6759,0.6463,0.6611,Drakensberg grasslands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
42,Wheat,25.0553,36.4226,22.8578,5.2802,11.3673,45.369,17.5777,76.9,True,0.65,0.563,0.6065,Dry miombo woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
43,Wheat,35.8579,40.1043,71.1114,16.4267,4.2464,11.8423,54.6847,76.9,True,0.2056,0.7704,0.488,East Sudanian savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
44,Wheat,31.3587,34.2195,67.8458,15.6724,2.8609,9.1231,52.1734,76.9,True,0.1167,0.7648,0.4407,Guinean forest-savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
45,Wheat,19.2256,21.059,9.431,2.1786,1.8334,9.5364,7.2524,76.9,True,0.0796,0.3815,0.2306,Horn of Africa xeric bushlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
46,Wheat,22.1661,31.283,5.8034,1.3406,9.1168,41.1296,4.4628,76.9,True,0.5426,0.2537,0.3981,Itigi-Sumbu thicket,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
47,Wheat,14.9796,30.9765,2.1217,0.4901,15.997,106.792,1.6316,76.9,True,0.8407,0.1167,0.4787,Kalahari Acacia woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
48,Wheat,24.2894,32.8437,26.0305,6.013,8.5543,35.2181,20.0174,76.9,True,0.5037,0.587,0.5454,Limpopo lowveld,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
49,Wheat,11.9305,18.303,33.7743,7.8019,6.3726,53.4144,25.9724,76.9,True,0.3463,0.6352,0.4907,Mandara Plateau woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
50,Wheat,31.0163,38.3285,15.3685,3.5501,7.3122,23.5753,11.8184,76.9,True,0.413,0.4833,0.4481,Masai xeric grasslands and shrublands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
51,Wheat,30.428,34.9507,29.7648,6.8757,4.5227,14.8637,22.8891,76.9,True,0.2333,0.6167,0.425,Northern Acacia-Commiphora bushlands and thickets,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
52,Wheat,27.6162,28.5411,40.3124,9.3122,0.9249,3.349,31.0003,76.9,True,0.0556,0.6722,0.3639,Northern Congolian Forest-Savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
53,Wheat,16.272,20.176,22.3956,5.1734,3.904,23.9923,17.2222,76.9,True,0.1907,0.5593,0.375,Sahelian Acacia savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
54,Wheat,22.4635,27.7838,9.1569,2.1152,5.3202,23.6839,7.0417,76.9,True,0.2833,0.3741,0.3287,Serengeti volcanic grasslands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
55,Wheat,32.1133,36.4081,34.0271,7.8603,4.2948,13.374,26.1669,76.9,True,0.2111,0.6389,0.425,Somali Acacia-Commiphora bushlands and thickets,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
57,Wheat,27.3012,32.6941,20.3546,4.7019,5.3929,19.7533,15.6527,76.9,True,0.2889,0.5444,0.4167,Southern Acacia-Commiphora bushlands and thickets,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
58,Wheat,17.1798,20.8624,27.7111,6.4013,3.6826,21.4356,21.3098,76.9,True,0.1704,0.6037,0.387,Southern Congolian forest-savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
59,Wheat,20.542,28.0914,24.0834,5.5633,7.5494,36.7508,18.5201,76.9,True,0.4315,0.5741,0.5028,Southwest Arabian montane woodlands and grasslands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
61,Wheat,36.2694,36.0582,43.4023,10.0259,-0.2111,-0.5822,33.3764,76.9,False,0.037,0.6833,0.3602,Victoria Basin forest-savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
62,Wheat,9.9365,14.1283,6.6606,1.5386,4.1918,42.1862,5.122,76.9,True,0.2019,0.2963,0.2491,West Sudanian savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
63,Wheat,18.3366,21.8383,25.1015,5.7984,3.5016,19.0964,19.303,76.9,True,0.1537,0.5833,0.3685,Western Congolian forest-savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
64,Wheat,17.1534,28.9634,3.4701,0.8016,11.81,68.8495,2.6685,76.9,True,0.6778,0.1796,0.4287,Zambezian Baikiaea woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
65,Wheat,20.9528,32.6313,11.5563,2.6695,11.6784,55.7368,8.8868,76.9,True,0.6704,0.4296,0.55,Zambezian mopane woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
66,Wheat,24.3347,36.8508,12.229,2.8249,12.5161,51.4333,9.4041,76.9,True,0.7111,0.4463,0.5787,Zambezian-Limpopo mixed woodlands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
69,Wheat,34.6787,39.8366,52.7788,12.1919,5.1579,14.8734,40.5869,76.9,True,0.2648,0.7222,0.4935,East African halophytics,,Flooded Grasslands & Savannas,Afrotropic
70,Wheat,20.8765,42.1857,3.3504,0.7739,21.3092,102.0726,2.5764,76.9,True,0.937,0.1741,0.5556,Etosha Pan halophytics,,Flooded Grasslands & Savannas,Afrotropic
72,Wheat,10.9936,15.265,4.8011,1.1091,4.2714,38.8539,3.692,76.9,True,0.2093,0.2222,0.2157,Lake Chad flooded savanna,,Flooded Grasslands & Savannas,Afrotropic
73,Wheat,17.1209,24.0527,2.1486,0.4963,6.9318,40.4874,1.6523,76.9,True,0.3889,0.1185,0.2537,Makgadikgadi halophytics,,Flooded Grasslands & Savannas,Afrotropic
75,Wheat,28.428,33.516,5.9551,1.3756,5.088,17.8979,4.5795,76.9,True,0.2611,0.2648,0.263,Zambezian coastal flooded savanna,,Flooded Grasslands & Savannas,Afrotropic
76,Wheat,25.561,39.837,7.0895,1.6377,14.2761,55.851,5.4518,76.9,True,0.787,0.3167,0.5519,Zambezian flooded grasslands,,Flooded Grasslands & Savannas,Afrotropic
77,Wheat,22.2916,27.1453,27.393,6.3278,4.8537,21.7738,21.0652,76.9,True,0.2537,0.5963,0.425,Angolan montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic
78,Wheat,50.7921,50.9987,54.7074,12.6374,0.2066,0.4068,42.07,76.9,True,0.0426,0.7296,0.3861,East African montane moorlands,,Montane Grasslands & Shrublands,Afrotropic
79,Wheat,34.0856,39.5163,53.1661,12.2814,5.4307,15.9326,40.8847,76.9,True,0.2926,0.7241,0.5083,Ethiopian montane grasslands and woodlands,,Montane Grasslands & Shrublands,Afrotropic
80,Wheat,41.8573,47.3513,65.3472,15.0952,5.494,13.1255,50.252,76.9,True,0.2981,0.7556,0.5269,Ethiopian montane moorlands,,Montane Grasslands & Shrublands,Afrotropic
81,Wheat,23.4133,36.5961,17.9267,4.1411,13.1828,56.3046,13.7856,76.9,True,0.7407,0.5204,0.6306,Highveld grasslands,,Montane Grasslands & Shrublands,Afrotropic
82,Wheat,12.7357,16.6386,17.6082,4.0675,3.903,30.646,13.5407,76.9,True,0.1889,0.513,0.3509,Jos Plateau forest-grassland,,Montane Grasslands & Shrublands,Afrotropic
83,Wheat,37.0635,47.0654,92.5755,21.3849,10.0019,26.9857,71.1906,76.9,True,0.5981,0.813,0.7056,Madagascar ericoid thickets,,Montane Grasslands & Shrublands,Afrotropic
84,Wheat,40.63,49.3602,139.1294,32.1389,8.7303,21.4872,106.9905,76.9,True,0.5204,0.887,0.7037,Mulanje Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic
85,Wheat,32.2568,51.7676,61.8961,14.298,19.5108,60.4859,47.5981,76.9,True,0.913,0.75,0.8315,Nyanga-Chimanimani Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic
86,Wheat,58.3162,62.9416,225.4231,52.0727,4.6254,7.9315,173.3504,76.9,True,0.2389,0.963,0.6009,Rwenzori-Virunga montane moorlands,,Montane Grasslands & Shrublands,Afrotropic
87,Wheat,44.9527,53.3259,88.7666,20.5051,8.3732,18.6267,68.2615,76.9,True,0.4833,0.8056,0.6444,Southern Rift Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic
88,Wheat,27.6781,37.6887,10.5354,2.4337,10.0106,36.1679,8.1018,76.9,True,0.6,0.4074,0.5037,Albany thickets,,"Mediterranean Forests, Woodlands & Scrub",Afrotropic
89,Wheat,31.1212,43.3004,6.0177,1.3901,12.1792,39.1348,4.6276,76.9,True,0.6963,0.2685,0.4824,Fynbos shrubland,,"Mediterranean Forests, Woodlands & Scrub",Afrotropic
90,Wheat,29.6161,42.3232,4.9954,1.1539,12.7071,42.906,3.8414,76.9,True,0.7204,0.2278,0.4741,Renosterveld shrubland,,"Mediterranean Forests, Woodlands & Scrub",Afrotropic
92,Wheat,27.5356,29.2743,47.9671,11.0804,1.7387,6.3143,36.8867,76.9,True,0.0778,0.7019,0.3898,Djibouti xeric shrublands,,Deserts & Xeric Shrublands,Afrotropic
94,Wheat,13.8438,35.1526,10.3573,2.3925,21.3088,153.9235,7.9648,76.9,True,0.9352,0.4037,0.6694,Gariep Karoo,,Deserts & Xeric Shrublands,Afrotropic
97,Wheat,15.1008,27.3883,2.4756,0.5719,12.2876,81.3704,1.9037,76.9,True,0.7019,0.1315,0.4167,Kalahari xeric savanna,,Deserts & Xeric Shrublands,Afrotropic
98,Wheat,18.7316,40.6339,29.1541,6.7346,21.9023,116.9269,22.4195,76.9,True,0.9389,0.6111,0.775,Kaokoveld desert,,Deserts & Xeric Shrublands,Afrotropic
99,Wheat,20.8836,27.4245,14.0713,3.2505,6.5409,31.3205,10.8208,76.9,True,0.3537,0.4667,0.4102,Madagascar spiny thickets,,Deserts & Xeric Shrublands,Afrotropic
100,Wheat,22.4701,29.1724,19.5818,4.5234,6.7023,29.8277,15.0584,76.9,True,0.3667,0.5352,0.4509,Madagascar succulent woodlands,,Deserts & Xeric Shrublands,Afrotropic
101,Wheat,16.9621,27.0925,5.982,1.3818,10.1304,59.7237,4.6001,76.9,True,0.6093,0.2667,0.438,Nama Karoo shrublands,,Deserts & Xeric Shrublands,Afrotropic
102,Wheat,16.7906,26.4254,0.2513,0.058,9.6348,57.3824,0.1932,76.9,True,0.5685,0.0093,0.2889,Namaqualand-Richtersveld steppe,,Deserts & Xeric Shrublands,Afrotropic
104,Wheat,20.7536,29.2589,28.0079,6.4698,8.5053,40.9825,21.5381,76.9,True,0.4981,0.6074,0.5528,Namibian savanna woodlands,,Deserts & Xeric Shrublands,Afrotropic
106,Wheat,19.7906,22.9051,6.5643,1.5164,3.1145,15.7373,5.0479,76.9,True,0.1259,0.2907,0.2083,Somali montane xeric woodlands,,Deserts & Xeric Shrublands,Afrotropic
107,Wheat,20.8157,25.3362,53.3838,12.3317,4.5205,21.7166,41.0521,76.9,True,0.2315,0.7278,0.4796,Southwest Arabian coastal xeric shrublands,,Deserts & Xeric Shrublands,Afrotropic
108,Wheat,19.4289,28.225,27.6238,6.3811,8.7962,45.2736,21.2427,76.9,True,0.5241,0.6,0.562,Southwest Arabian Escarpment shrublands and woodlands,,Deserts & Xeric Shrublands,Afrotropic
109,Wheat,21.2484,24.9841,17.5962,4.0647,3.7356,17.5808,13.5315,76.9,True,0.1722,0.5111,0.3417,Southwest Arabian highland xeric scrub,,Deserts & Xeric Shrublands,Afrotropic
110,Wheat,20.5623,29.7237,4.9478,1.1429,9.1614,44.5542,3.8049,76.9,True,0.5463,0.2259,0.3861,Succulent Karoo xeric shrublands,,Deserts & Xeric Shrublands,Afrotropic
116,Wheat,31.7498,48.0903,30.4108,7.0249,16.3405,51.4666,23.3859,76.9,True,0.85,0.6204,0.7352,Southern Africa mangroves,,Mangroves,Afrotropic
146,Wheat,58.8029,63.5901,288.0743,66.5452,4.7872,8.141,221.5292,76.9,True,0.25,0.9926,0.6213,New Caledonia rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia
150,Wheat,32.0591,42.0034,51.0697,11.7971,9.9443,31.0186,39.2726,76.9,True,0.587,0.713,0.65,Queensland tropical rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia
164,Wheat,45.7872,50.2225,140.1269,32.3693,4.4353,9.6868,107.7576,76.9,True,0.2241,0.8907,0.5574,New Caledonia dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Australasia
167,Wheat,94.1998,126.9131,3.5237,0.814,32.7132,34.7275,2.7097,76.9,True,0.9759,0.1852,0.5806,Chatham Island temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
168,Wheat,35.9385,49.6786,23.8629,5.5123,13.7401,38.2321,18.3506,76.9,True,0.7593,0.5704,0.6648,Eastern Australian temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
169,Wheat,94.333,126.8138,35.5962,8.2227,32.4808,34.4321,27.3735,76.9,True,0.9741,0.6481,0.8111,Fiordland temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
170,Wheat,93.1602,112.1313,54.966,12.6971,18.9711,20.3639,42.2689,76.9,True,0.9074,0.7315,0.8194,Nelson Coast temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
171,Wheat,76.1847,103.9704,38.6823,8.9356,27.7857,36.4715,29.7467,76.9,True,0.963,0.6667,0.8148,New Zealand North Island temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
172,Wheat,81.4292,116.0917,6.3226,1.4605,34.6625,42.5676,4.8621,76.9,True,0.987,0.2815,0.6343,New Zealand South Island temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
173,Wheat,69.646,101.5136,38.2502,8.8358,31.8677,45.7567,29.4144,76.9,True,0.9704,0.6593,0.8148,Northland temperate kauri forests,,Temperate Broadleaf & Mixed Forests,Australasia
174,Wheat,92.6563,126.844,7.4586,1.7229,34.1877,36.8973,5.7356,76.9,True,0.9852,0.3259,0.6556,Rakiura Island temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
175,Wheat,82.1128,115.1792,37.4312,8.6466,33.0664,40.2695,28.7846,76.9,True,0.9796,0.6519,0.8157,Richmond temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
176,Wheat,37.197,51.0598,5.4228,1.2527,13.8629,37.2689,4.1702,76.9,True,0.7648,0.2407,0.5028,Southeast Australia temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
177,Wheat,70.583,89.9847,13.656,3.1545,19.4016,27.4877,10.5015,76.9,True,0.9111,0.4611,0.6861,Tasmanian Central Highland forests,,Temperate Broadleaf & Mixed Forests,Australasia
178,Wheat,66.5357,91.8875,3.7432,0.8647,25.3518,38.1026,2.8785,76.9,True,0.9537,0.187,0.5704,Tasmanian temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
179,Wheat,88.3203,107.9037,17.373,4.0132,19.5834,22.1731,13.3599,76.9,True,0.9148,0.5074,0.7111,Tasmanian temperate rain forests,,Temperate Broadleaf & Mixed Forests,Australasia
180,Wheat,94.202,114.5169,87.6672,20.2511,20.3149,21.5652,67.4161,76.9,True,0.9241,0.8019,0.863,Westland temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia
181,Wheat,17.2851,26.5452,7.8614,1.816,9.2601,53.5729,6.0454,76.9,True,0.5519,0.3389,0.4454,Arnhem Land tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
182,Wheat,13.9931,19.1776,9.331,2.1555,5.1845,37.0505,7.1755,76.9,True,0.2704,0.3778,0.3241,Brigalow tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
183,Wheat,19.6144,29.7073,58.9734,13.6229,10.0929,51.4564,45.3506,76.9,True,0.6074,0.7407,0.6741,Cape York Peninsula tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
184,Wheat,21.8615,32.085,7.0922,1.6383,10.2235,46.765,5.4539,76.9,True,0.613,0.3185,0.4657,Carpentaria tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
185,Wheat,20.8666,29.4494,18.0377,4.1667,8.5828,41.1316,13.871,76.9,True,0.5074,0.5222,0.5148,Einasleigh upland savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
186,Wheat,19.5169,29.518,16.4942,3.8102,10.0011,51.2434,12.6841,76.9,True,0.5963,0.4963,0.5463,Kimberly tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
187,Wheat,11.903,20.3317,3.8493,0.8892,8.4287,70.8114,2.9601,76.9,True,0.4926,0.1963,0.3444,Mitchell Grass Downs,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
189,Wheat,18.0723,27.7493,4.4007,1.0166,9.6769,53.5454,3.3841,76.9,True,0.5704,0.2111,0.3907,Victoria Plains tropical savanna,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
190,Wheat,67.4342,100.5767,6.2297,1.4391,33.1425,49.1479,4.7906,76.9,True,0.9833,0.2796,0.6315,Canterbury-Otago tussock grasslands,,"Temperate Grasslands, Savannas & Shrublands",Australasia
191,Wheat,8.8868,14.4165,2.463,0.569,5.5297,62.2236,1.8941,76.9,True,0.3056,0.1296,0.2176,Eastern Australia mulga shrublands,,"Temperate Grasslands, Savannas & Shrublands",Australasia
192,Wheat,16.2536,21.9932,0.9785,0.226,5.7396,35.313,0.7525,76.9,True,0.3185,0.0704,0.1944,Southeast Australia temperate savanna,,"Temperate Grasslands, Savannas & Shrublands",Australasia
193,Wheat,54.3876,70.983,22.6774,5.2385,16.5953,30.513,17.4389,76.9,True,0.8556,0.5611,0.7083,Australian Alps montane grasslands,,Montane Grasslands & Shrublands,Australasia
194,Wheat,84.9898,117.0732,40.9087,9.4499,32.0834,37.7498,31.4588,76.9,True,0.9722,0.6759,0.8241,New Zealand South Island montane grasslands,,Montane Grasslands & Shrublands,Australasia
197,Wheat,30.5291,38.4305,0.1829,0.0423,7.9015,25.8817,0.1407,76.9,True,0.4537,0.0019,0.2278,Coolgardie woodlands,,"Mediterranean Forests, Woodlands & Scrub",Australasia
198,Wheat,28.0405,35.1308,0.3471,0.0802,7.0903,25.2858,0.2669,76.9,True,0.4019,0.0167,0.2093,Esperance mallee,,"Mediterranean Forests, Woodlands & Scrub",Australasia
199,Wheat,28.3325,38.3432,0.4315,0.0997,10.0107,35.3329,0.3318,76.9,True,0.6019,0.0241,0.313,Eyre and York mallee,,"Mediterranean Forests, Woodlands & Scrub",Australasia
200,Wheat,26.384,35.2755,1.5757,0.364,8.8915,33.7002,1.2117,76.9,True,0.5296,0.0926,0.3111,Flinders-Lofty montane woodlands,,"Mediterranean Forests, Woodlands & Scrub",Australasia
202,Wheat,60.468,82.6013,3.8164,0.8816,22.1333,36.6034,2.9348,76.9,True,0.9407,0.1926,0.5667,Jarrah-Karri forest and shrublands,,"Mediterranean Forests, Woodlands & Scrub",Australasia
203,Wheat,19.9451,27.3342,0.535,0.1236,7.3891,37.0472,0.4114,76.9,True,0.4222,0.0333,0.2278,Murray-Darling woodlands and mallee,,"Mediterranean Forests, Woodlands & Scrub",Australasia
204,Wheat,45.2724,61.7386,0.5513,0.1274,16.4662,36.3714,0.424,76.9,True,0.8537,0.037,0.4454,Naracoorte woodlands,,"Mediterranean Forests, Woodlands & Scrub",Australasia
205,Wheat,22.1249,29.1417,0.5678,0.1312,7.0167,31.7141,0.4366,76.9,True,0.3963,0.0407,0.2185,Southwest Australia savanna,,"Mediterranean Forests, Woodlands & Scrub",Australasia
206,Wheat,41.9704,58.0313,2.4989,0.5773,16.0609,38.2671,1.9217,76.9,True,0.8426,0.1352,0.4889,Southwest Australia woodlands,,"Mediterranean Forests, Woodlands & Scrub",Australasia
211,Wheat,20.014,27.3873,0.2455,0.0567,7.3733,36.8405,0.1888,76.9,True,0.4204,0.0074,0.2139,Great Victoria desert,,Deserts & Xeric Shrublands,Australasia
212,Wheat,24.2966,31.6108,0.1868,0.0431,7.3142,30.1037,0.1436,76.9,True,0.4148,0.0037,0.2093,Nullarbor Plains xeric shrublands,,Deserts & Xeric Shrublands,Australasia
215,Wheat,25.4699,34.875,0.5579,0.1289,9.4051,36.9261,0.429,76.9,True,0.5593,0.0389,0.2991,Tirari-Sturt stony desert,,Deserts & Xeric Shrublands,Australasia
222,Wheat,24.1387,27.1511,59.1967,13.6744,3.0124,12.4797,45.5223,76.9,True,0.1241,0.7426,0.4333,Brahmaputra Valley semi-evergreen forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
225,Wheat,27.299,15.3759,18.19,4.2019,-11.9232,-43.6761,13.9881,76.9,False,0.0037,0.5241,0.2639,Chao Phraya lowland moist deciduous forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
226,Wheat,33.0812,30.5079,249.8662,57.7191,-2.5733,-7.7787,192.1471,76.9,False,0.0241,0.9741,0.4991,Chin Hills-Arakan Yoma montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
228,Wheat,19.6809,22.127,38.2445,8.8345,2.4462,12.4293,29.41,76.9,True,0.1,0.6574,0.3787,East Deccan moist deciduous forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
232,Wheat,37.3388,55.7708,139.841,32.3033,18.432,49.3642,107.5377,76.9,True,0.9,0.8889,0.8944,Hainan Island monsoon rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
233,Wheat,27.3671,30.0731,157.406,36.3608,2.706,9.888,121.0452,76.9,True,0.1056,0.9167,0.5111,Himalayan subtropical broadleaf forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
235,Wheat,23.7547,25.2347,51.0312,11.7882,1.48,6.2304,39.243,76.9,True,0.0722,0.7111,0.3917,Irrawaddy moist deciduous forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
236,Wheat,31.0346,36.8071,145.7149,33.6602,5.7725,18.6003,112.0548,76.9,True,0.3222,0.9037,0.613,Jian Nan subtropical evergreen forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
