Date,Day_Num,Day,Month
6-Jul,187,6,7
7-Jul,188,7,7
8-Jul,189,8,7
9-Jul,190,9,7
10-Jul,191,10,7
11-Jul,192,11,7
12-Jul,193,12,7
13-Jul,194,13,7
14-Jul,195,14,7
15-Jul,196,15,7
16-Jul,197,16,7
17-Jul,198,17,7
18-Jul,199,18,7
19-Jul,200,19,7
20-Jul,201,20,7
21-Jul,202,21,7
22-Jul,203,22,7
23-Jul,204,23,7
24-Jul,205,24,7
25-Jul,206,25,7
26-Jul,207,26,7
27-Jul,208,27,7
28-Jul,209,28,7
29-Jul,210,29,7
30-Jul,211,30,7
31-Jul,212,31,7
1-Aug,213,1,8
2-Aug,214,2,8
3-Aug,215,3,8
4-Aug,216,4,8
5-Aug,217,5,8
6-Aug,218,6,8
7-Aug,219,7,8
8-Aug,220,8,8
9-Aug,221,9,8
10-Aug,222,10,8
11-Aug,223,11,8
12-Aug,224,12,8
13-Aug,225,13,8
14-Aug,226,14,8
15-Aug,227,15,8
16-Aug,228,16,8
17-Aug,229,17,8
18-Aug,230,18,8
19-Aug,231,19,8
20-Aug,232,20,8
21-Aug,233,21,8
22-Aug,234,22,8
23-Aug,235,23,8
24-Aug,236,24,8
25-Aug,237,25,8
26-Aug,238,26,8
27-Aug,239,27,8
28-Aug,240,28,8
29-Aug,241,29,8
30-Aug,242,30,8
31-Aug,243,31,8
1-Sep,244,1,9
2-Sep,245,2,9
3-Sep,246,3,9
4-Sep,247,4,9
5-Sep,248,5,9
6-Sep,249,6,9
7-Sep,250,7,9
8-Sep,251,8,9
9-Sep,252,9,9
10-Sep,253,10,9
11-Sep,254,11,9
12-Sep,255,12,9
13-Sep,256,13,9
14-Sep,257,14,9
15-Sep,258,15,9
16-Sep,259,16,9
17-Sep,260,17,9
18-Sep,261,18,9
19-Sep,262,19,9
20-Sep,263,20,9
21-Sep,264,21,9
22-Sep,265,22,9
23-Sep,266,23,9
24-Sep,267,24,9
25-Sep,268,25,9
26-Sep,269,26,9
27-Sep,270,27,9
28-Sep,271,28,9
29-Sep,272,29,9
30-Sep,273,30,9
1-Oct,274,1,10
2-Oct,275,2,10
3-Oct,276,3,10
4-Oct,277,4,10
5-Oct,278,5,10
6-Oct,279,6,10
7-Oct,280,7,10
8-Oct,281,8,10
9-Oct,282,9,10
10-Oct,283,10,10
11-Oct,284,11,10
12-Oct,285,12,10
13-Oct,286,13,10
14-Oct,287,14,10
15-Oct,288,15,10
16-Oct,289,16,10
17-Oct,290,17,10
18-Oct,291,18,10
19-Oct,292,19,10
20-Oct,293,20,10
21-Oct,294,21,10
22-Oct,295,22,10
23-Oct,296,23,10
24-Oct,297,24,10
25-Oct,298,25,10
26-Oct,299,26,10
27-Oct,300,27,10
28-Oct,301,28,10
29-Oct,302,29,10
30-Oct,303,30,10
31-Oct,304,31,10
1-Nov,305,1,11
2-Nov,306,2,11
3-Nov,307,3,11
4-Nov,308,4,11
5-Nov,309,5,11
6-Nov,310,6,11
7-Nov,311,7,11
8-Nov,312,8,11
9-Nov,313,9,11
10-Nov,314,10,11
11-Nov,315,11,11
12-Nov,316,12,11
13-Nov,317,13,11
14-Nov,318,14,11
15-Nov,319,15,11
16-Nov,320,16,11
17-Nov,321,17,11
18-Nov,322,18,11
19-Nov,323,19,11
20-Nov,324,20,11
21-Nov,325,21,11
22-Nov,326,22,11
23-Nov,327,23,11
24-Nov,328,24,11
25-Nov,329,25,11
26-Nov,330,26,11
27-Nov,331,27,11
28-Nov,332,28,11
29-Nov,333,29,11
30-Nov,334,30,11
1-Dec,335,1,12
2-Dec,336,2,12
3-Dec,337,3,12
4-Dec,338,4,12
5-Dec,339,5,12
6-Dec,340,6,12
7-Dec,341,7,12
8-Dec,342,8,12
9-Dec,343,9,12
10-Dec,344,10,12
11-Dec,345,11,12
12-Dec,346,12,12
13-Dec,347,13,12
14-Dec,348,14,12
15-Dec,349,15,12
16-Dec,350,16,12
17-Dec,351,17,12
18-Dec,352,18,12
19-Dec,353,19,12
20-Dec,354,20,12
21-Dec,355,21,12
22-Dec,356,22,12
23-Dec,357,23,12
24-Dec,358,24,12
25-Dec,359,25,12
26-Dec,360,26,12
27-Dec,361,27,12
28-Dec,362,28,12
29-Dec,363,29,12
30-Dec,364,30,12
31-Dec,365,31,12
